!GEAR.DAT - Gear data file for most shadowrun gear
!-------------------------------------------------
!
! This file originated with Paolo's Gear.Dat file. It now includes
! data from most sourcebooks and some things from the web. See
! BOOKS.DAT for a list of source books and for control of which
! books are included by software.
!
!
! 02/01/96 Paolo M: provide original version
! 02/04/96 JW: update
!          Gurth: add accessories field to firearms
! 08/13/99 McMackie: eliminate duplicate entries and add SR3 support
! 06/10/02 Wordman: add weapon entries and many corrections
! 12/14/02 Jon Yarwood: add SOTA entries
! 01/03/03 Josef Wegner: add Target: Wastelands entries
! 10/17/03 TinkerGnome: add Biotech from M&M
! 11/14/03 TinkerGnome: update lots of stuff with Ratings
! 02/21/04 OurTeam: corrections
! 04/18/04 TinkerGnome: Added skillsoft jukeboxes, rearranged firearms, added much chemtech
! 12/03/04 Thistledown: added SOTA2064
!-------
! Types (Formats):
0-1|Edged weapon|10|Concealability|Reach|Damage|Weight|Availability|$Cost|Street Index|Book.Page|Legal|Notes|
0-2|Bow and crossbow|9|Concealability|Str.Min.|Damage|Weight|Availability|$Cost|Street Index|Legal|Book.Page|
0-3|Firearms|10|Concealability|Ammunition|Mode|Damage|Weight|Availability|$Cost|Street Index|Accessories|Book.Page|
0-4|Rockets and Missiles|9|Intelligence|Damage|Blast|Scatter|Weight|Availability|$Cost|Street Index|Book.Page|
0-5|Ammunition|7|Concealability|Damage|Weight|Availability|$Cost|Street Index|Book.Page|
0-6|Firearms Accessories|9|Mount|Concealability|Rating|Weight|Availability|$Cost|Street Index|Notes|Book.Page|
0-7|Explosives|7|Concealability|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
0-8|Clothing and Armor|8|Concealability|Ballistic|Impact|Weight|Availability|$Cost|Street Index|Book.Page|
0-9|S+S Vision Enhancers|7|Concealability|Mag:|Weight|Availability|$Cost|Street Index|Book.Page|
0-10|Surveillance and Security|6|Concealability|Weight|Availability|$Cost|Street Index|Book.Page|
0-11|Custom Gear|6|Concealability|Weight|$Cost|Street Index|Availability|Book.Page|
0-12|Cyberdeck Other|4|Availability|$Cost|Street Index|Book.Page|
0-13|Biotech|6|Rating|Availability|Weight|$Cost|Street Index|Book.Page|
0-14|Lifestyle|6|Concealability|Weight|Availability|$Cost|Street Index|Book.Page|
0-15|Magical Equipment|5|KarmaCost|Availability|$Cost|Street Index|Book.Page|
0-17|Cars|10|Handling|Speed|Body|Armor|Sig|Apilot|Availability|$Cost|Street Index|Book.Page|
0-18|VehicleGear|4|Availability|$Cost|Street Index|Book.Page|
0-19|VehicleFire|9|Type|Ammunition|Mode|Damage|Weight|Availability|$Cost|Street Index|Book.Page|
0-20|Chips|7|Type|Rating|Memory|Availability|$Cost|Street Index|Book.Page|
0-21|Stuff With Ratings|7|Concealability|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
0-22|Drugs|7|Addiction|Tolerance|Edge|Availability|$Cost|Street Index|Book.Page|
0-23|Vehicle Modifications|4|$Cost|Equipment|CF|Book.Page|
0-24|SR3 Cars|11|Handling|Speed/Accel|Body/Armor|Sig/Autonav|Pilot/Sensor|Cargo/Load|Seating|$Cost|Avail|Street Index|Book.Page|
0-25|Lifestyle2|2|$Cost|Book.Page|
0-26|Extras|2|$Cost|Book.Page|
0-27|Miscellaneous Weapons|8|Intelligence|Concealability|Weight|$Cost|Availability|Street Index|Accessories|Book.Page|
0-28|Simsence|4|Availability|$Cost|Street Index|Book.Page|
0-29|Chemical s|8|Origin|Rating|Speed|Vector|Availability|$Cost|Street Index|Book.Page|
0-30|Pocket Secretaries|11|Form|Concealability|Weight|Memory|ECCM|Data Encrypt|Comm Encrypt|$Cost|Street Index|Legal|Book.Page|
0-31|FireForce Storage Frames|5|Weight|Points|$Cost|Notes|Book.Page|
0-32|FireForce Attachments|4|Points Used|$Cost|Notes|Book.Page|
0-33|Cyberdeck Other|5|Availability|$Cost|Multiplier|Street Index|Book.Page|
0-34|Toxins|7|Damage|Vector|Speed|Availability|$Cost|Street Index|Book.Page|
0-35|Nanoware Ratings|6|Type|Rating|Availability|$Cost|Street Index|Book.Page|
0-36|OCC Encoders|6|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
0-37|Cyberdeck Otaku|7|Availability|$Cost|Street Index|Multiplier|KarmaCost|Notes|Book.Page|
0-38|Credstick|7|Concealability|Rating|Weight|Availability|$Cost|Street Index|Book.Page|
!--------------------------------------------------------------------------------
!   1234567890123456789012345678901234567890123
1-Weapons
2-Melee weapons
3-Edged weapons
4-* Axe(EDG)                       1|2|1|(STR)S|2.5|2/4hrs|60|1|cb1.2|||
4-* SkillSoft Jukebox 192MP 9 prts 20|Juk|1|192|3/72hrs|34560|1|sr3.296|
4-* SkillSoft Jukebox 192MP 10 pts 20|Juk|1|192|3/72hrs|38400|1|sr3.296|
4-* SkillSoft Jukebox 192MP 11 pts 20|Juk|1|192|3/72hrs|42240|1|sr3.296|
4-* SkillSoft Jukebox 192MP 12 pts 20|Juk|1|192|3/72hrs|46080|1|sr3.296|
4-* SkillSoft Jukebox 192MP 13 pts 20|Juk|1|192|3/72hrs|49920|1|sr3.296|
4-* SkillSoft Jukebox 192MP 14 pts 20|Juk|1|192|3/72hrs|53760|1|sr3.296|
4-* SkillSoft Jukebox 192MP 15 pts 20|Juk|1|192|3/72hrs|57600|1|sr3.296|
3-Standard Soft Rating 9
4-* SkillSoft Jukebox 243MP 2 prts 20|Juk|1|243|3/72hrs|9720|1|sr3.296|
4-* SkillSoft Jukebox 243MP 3 prts 20|Juk|1|243|3/72hrs|14580|1|sr3.296|
4-* SkillSoft Jukebox 243MP 4 prts 20|Juk|1|243|3/72hrs|19440|1|sr3.296|
4-* SkillSoft Jukebox 243MP 5 prts 20|Juk|1|243|3/72hrs|24300|1|sr3.296|
4-* SkillSoft Jukebox 243MP 6 prts 20|Juk|1|243|3/72hrs|29160|1|sr3.296|
4-* SkillSoft Jukebox 243MP 7 prts 20|Juk|1|243|3/72hrs|34020|1|sr3.296|
4-* SkillSoft Jukebox 243MP 8 prts 20|Juk|1|243|3/72hrs|38880|1|sr3.296|
4-* SkillSoft Jukebox 243MP 9 prts 20|Juk|1|243|3/72hrs|43740|1|sr3.296|
4-* SkillSoft Jukebox 243MP 10 pts 20|Juk|1|243|3/72hrs|48600|1|sr3.296|
4-* SkillSoft Jukebox 243MP 11 pts 20|Juk|1|243|3/72hrs|53460|1|sr3.296|
4-* SkillSoft Jukebox 243MP 12 pts 20|Juk|1|243|3/72hrs|58320|1|sr3.296|
4-* SkillSoft Jukebox 243MP 13 pts 20|Juk|1|243|3/72hrs|63180|1|sr3.296|
4-* SkillSoft Jukebox 243MP 14 pts 20|Juk|1|243|3/72hrs|68040|1|sr3.296|
4-* SkillSoft Jukebox 243MP 15 pts 20|Juk|1|243|3/72hrs|72900|1|sr3.296|
3-Standard Soft Rating 10
4-* SkillSoft Jukebox 300MP 2 prts 20|Juk|1|300|3/72hrs|12000|1|sr3.296|
4-* SkillSoft Jukebox 300MP 3 prts 20|Juk|1|300|3/72hrs|18000|1|sr3.296|
4-* SkillSoft Jukebox 300MP 4 prts 20|Juk|1|300|3/72hrs|24000|1|sr3.296|
4-* SkillSoft Jukebox 300MP 5 prts 20|Juk|1|300|3/72hrs|30000|1|sr3.296|
4-* SkillSoft Jukebox 300MP 6 prts 20|Juk|1|300|3/72hrs|36000|1|sr3.296|
4-* SkillSoft Jukebox 300MP 7 prts 20|Juk|1|300|3/72hrs|42000|1|sr3.296|
4-* SkillSoft Jukebox 300MP 8 prts 20|Juk|1|300|3/72hrs|48000|1|sr3.296|
4-* SkillSoft Jukebox 300MP 9 prts 20|Juk|1|300|3/72hrs|54000|1|sr3.296|
4-* SkillSoft Jukebox 300MP 10 pts 20|Juk|1|300|3/72hrs|60000|1|sr3.296|
4-* SkillSoft Jukebox 300MP 11 pts 20|Juk|1|300|3/72hrs|66000|1|sr3.296|
4-* SkillSoft Jukebox 300MP 12 pts 20|Juk|1|300|3/72hrs|72000|1|sr3.296|
4-* SkillSoft Jukebox 300MP 13 pts 20|Juk|1|300|3/72hrs|78000|1|sr3.296|
4-* SkillSoft Jukebox 300MP 14 pts 20|Juk|1|300|3/72hrs|84000|1|sr3.296|
4-* SkillSoft Jukebox 300MP 15 pts 20|Juk|1|300|3/72hrs|90000|1|sr3.296|
2-ActiveSofts
3-* ActiveSoft Gen. [1]->          20|Active|1|3|6/4days|300|1.25|sr3.296|
3-* ActiveSoft Gen. [2]->          20|Active|2|12|6/4days|1200|1.25|sr3.296|
3-* ActiveSoft Gen. [3]->          20|Active|3|27|6/4days|2700|1.25|sr3.296|
3-* ActiveSoft Gen. [4]->          20|Active|4|48|6/4days|4800|1.25|sr3.296|
3-* ActiveSoft Gen. [5]->          20|Active|5|75|6/4days|7500|1.25|sr3.296|
3-* ActiveSoft Gen. [6]->          20|Active|6|108|6/4days|10800|1.25|sr3.296|
3-* ActiveSoft Gen. [7]->          20|Active|7|147|6/4days|14700|1.25|sr3.296|
3-* ActiveSoft Gen. [8]->          20|Active|8|192|6/4days|19200|1.25|sr3.296|
3-* ActiveSoft Gen. [9]->          20|Active|9|243|6/4days|24300|1.25|sr3.296|
3-* ActiveSoft Gen. [10]->         20|Active|10|300|6/4days|30000|1.25|sr3.296|
3-* ActiveSoft Spec. [1]->         20|Active|1|2|6/4days|200|1.25|sr3.296|
3-* ActiveSoft Spec. [2]->         20|Active|2|8|6/4days|800|1.25|sr3.296|
3-* ActiveSoft Spec. [3]->         20|Active|3|18|6/4days|1800|1.25|sr3.296|
3-* ActiveSoft Spec. [4]->         20|Active|4|32|6/4days|3200|1.25|sr3.296|
3-* ActiveSoft Spec. [5]->         20|Active|5|50|6/4days|5000|1.25|sr3.296|
3-* ActiveSoft Spec. [6]->         20|Active|6|72|6/4days|7200|1.25|sr3.296|
3-* ActiveSoft Spec. [7]->         20|Active|7|98|6/4days|9800|1.25|sr3.296|
3-* ActiveSoft Spec. [8]->         20|Active|8|128|6/4days|12800|1.25|sr3.296|
3-* ActiveSoft Spec. [9]->         20|Active|9|162|6/4days|16200|1.25|sr3.296|
3-* ActiveSoft Spec. [10]->        20|Active|10|200|6/4days|20000|1.25|sr3.296|
3-* Ambidexterity Chip [1]         20|Active|1|10|6/4days|1000|1.25|cb1.41|
3-* Ambidexterity Chip [2]         20|Active|2|20|6/4days|2000|1.25|cb1.41|
3-* Ambidexterity Chip [3]         20|Active|3|30|6/4days|3000|1.25|cb1.41|
3-* Ambidexterity Chip [4]         20|Active|4|200|6/4days|20000|1.25|cb1.41|
3-* Ambidexterity Chip [5]         20|Active|5|250|6/4days|25000|1.25|cb1.41|
3-* DeathTrance Chip               20|Active|1|50|20/10days|5000|.9|cb1.41|
3-* Mister Lover Chip [1]          20|Active|1|5|5/48hrs|100|.9|sr2.???|
3-* Mister Lover Chip [2]          20|Active|2|10|5/48hrs|200|.9|sr2.???|
3-* Mister Lover Chip [3]          20|Active|3|15|5/48hrs|300|.9|sr2.???|
3-* Poser Impersonation W/Habits   20|Active|4 and 6|440 Mp|24/20days|40000|1|sr2.???|
3-* Poser Impersonation W/O Habits 20|Active|4 and 6|320 Mp|20/20days|30000|1|sr2.???|
3-* SpeedReading Chip [1]          20|Active|1|-|6/4days|300|1.25|cb4.138|
3-* SpeedReading Chip [2]          20|Active|2|-|6/4days|1200|1.25|cb4.138|
3-* SpeedReading Chip [3]          20|Active|3|-|6/4days|2700|1.25|cb4.138|
3-* SpeedReading Chip [4]          20|Active|4|-|6/4days|4800|1.25|cb4.138|
3-* SpeedReading Chip [5]          20|Active|5|-|6/4days|7500|1.25|cb4.138|
3-* SpeedReading Chip [6]          20|Active|6|-|6/4days|10800|1.25|cb4.138|
3-* SpeedReading Chip [7]          20|Active|7|-|6/4days|14700|1.25|cb4.138|
3-* SpeedReading Chip [8]          20|Active|8|-|6/4days|19200|1.25|cb4.138|
3-* SpeedReading Chip [9]          20|Active|9|-|6/4days|24300|1.25|cb4.138|
3-* SpeedReading Chip [10]         20|Active|10|-|6/4days|30000|1.25|cb4.138|
2-Biofeedback
3-* Adrenalin/Endorphin Surge [1]  20|(Special)|1|150|6/72hrs|12500|2|cb1.41|
3-* Adrenalin/Endorphin Surge [2]  20|(Special)|2|300|6/72hrs|25000|2|cb1.41|
3-* Adrenalin/Endorphin Surge [3]  20|(Special)|3|450|6/72hrs|37500|2|cb1.41|
3-* Adrenalin/Endorphin Surge [4]  20|(Special)|4|600|6/72hrs|50000|2|cb1.41|
3-* Adrenalin/Endorphin Surge [5]  20|(Special)|5|750|6/72hrs|62500|2|cb1.41|
3-* Adrenalin/Endorphin Surge [6]  20|(Special)|6|900|6/72hrs|75000|2|cb1.41|
3-* Stress Chip                    20|(Special)|-|20|4/36hrs|3500|1|cb1.41|
2-DataSofts
3-* DataSoft Gen.[1]->             20|Data|1|3|4/4days|300|1.25|sr3.296|
3-* DataSoft Gen.[2]->             20|Data|2|12|4/4days|1200|1.25|sr3.296|
3-* DataSoft Gen.[3]->             20|Data|3|27|4/4days|2700|1.25|sr3.296|
3-* DataSoft Gen.[4]->             20|Data|4|48|4/4days|4800|1.25|sr3.296|
3-* DataSoft Gen.[5]->             20|Data|5|75|4/4days|7500|1.25|sr3.296|
3-* DataSoft Gen.[6]->             20|Data|6|108|4/4days|10800|1.25|sr3.296|
3-* DataSoft Gen.[7]->             20|Data|7|147|4/4days|14700|1.25|sr3.296|
3-* DataSoft Gen.[8]->             20|Data|8|192|4/4days|19200|1.25|sr3.296|
3-* DataSoft Gen.[9]->             20|Data|9|243|4/4days|24300|1.25|sr3.296|
3-* DataSoft Gen.[10]->            20|Data|10|300|4/4days|30000|1.25|sr3.296|
3-* DataSoft Spec.[1]->            20|Data|1|2|4/4days|200|1.25|sr3.296|
3-* DataSoft Spec.[2]->            20|Data|2|8|4/4days|800|1.25|sr3.296|
3-* DataSoft Spec.[3]->            20|Data|3|18|4/4days|1800|1.25|sr3.296|
3-* DataSoft Spec.[4]->            20|Data|4|32|4/4days|3200|1.25|sr3.296|
3-* DataSoft Spec.[5]->            20|Data|5|50|4/4days|5000|1.25|sr3.296|
3-* DataSoft Spec.[6]->            20|Data|6|72|4/4days|7200|1.25|sr3.296|
3-* DataSoft Spec.[7]->            20|Data|7|98|4/4days|9800|1.25|sr3.296|
3-* DataSoft Spec.[8]->            20|Data|8|128|4/4days|12800|1.25|sr3.296|
3-* DataSoft Spec.[9]->            20|Data|9|162|4/4days|16200|1.25|sr3.296|
3-* DataSoft Spec.[10]->           20|Data|10|200|4/4days|20000|1.25|sr3.296|
2-KnowSofts
3-* KnowSoft  Facedown             20|Know|+1|50|5/4days|7500|1.5|cb4.138|
3-* KnowSoft Gen.[1]->             20|Know|1|3|4/4days|300|1.25|sr3.296|
3-* KnowSoft Gen.[2]->             20|Know|2|12|4/4days|1200|1.25|sr3.296|
3-* KnowSoft Gen.[3]->             20|Know|3|27|4/4days|2700|1.25|sr3.296|
3-* KnowSoft Gen.[4]->             20|Know|4|48|4/4days|4800|1.25|sr3.296|
3-* KnowSoft Gen.[5]->             20|Know|5|75|4/4days|7500|1.25|sr3.296|
3-* KnowSoft Gen.[6]->             20|Know|6|108|4/4days|10800|1.25|sr3.296|
3-* KnowSoft Gen.[7]->             20|Know|7|147|4/4days|14700|1.25|sr3.296|
3-* KnowSoft Gen.[8]->             20|Know|8|192|4/4days|19200|1.25|sr3.296|
3-* KnowSoft Gen.[9]->             20|Know|9|243|4/4days|24300|1.25|sr3.296|
3-* KnowSoft Gen.[10]->            20|Know|10|300|4/4days|30000|1.25|sr3.296|
3-* KnowSoft Spec.[1]->            20|Know|1|2|4/4days|200|1.25|sr3.296|
3-* KnowSoft Spec.[2]->            20|Know|2|8|4/4days|800|1.25|sr3.296|
3-* KnowSoft Spec.[3]->            20|Know|3|18|4/4days|1800|1.25|sr3.296|
3-* KnowSoft Spec.[4]->            20|Know|4|32|4/4days|3200|1.25|sr3.296|
3-* KnowSoft Spec.[5]->            20|Know|5|50|4/4days|5000|1.25|sr3.296|
3-* KnowSoft Spec.[6]->            20|Know|6|72|4/4days|7200|1.25|sr3.296|
3-* KnowSoft Spec.[7]->            20|Know|7|98|4/4days|9800|1.25|sr3.296|
3-* KnowSoft Spec.[8]->            20|Know|8|128|4/4days|12800|1.25|sr3.296|
3-* KnowSoft Spec.[9]->            20|Know|9|162|4/4days|16200|1.25|sr3.296|
3-* KnowSoft Spec.[10]->           20|Know|10|200|4/4days|20000|1.25|sr3.296|
3-* Auditory Recognition Chip [1]  20|Know|1|50|7/4days|7500|1.5|cb3.101|
3-* Auditory Recognition Chip [2]  20|Know|2|100|7/4days|15000|1.5|cb3.101|
3-* Auditory Recognition Chip [3]  20|Know|3|150|7/4days|22500|1.5|cb3.101|
3-* Auditory Recognition Chip [4]  20|Know|4|200|7/4days|30000|1.5|cb3.101|
3-* Auditory Recognition Chip [5]  20|Know|4|200|7/4days|37500|1.5|cb3.101|
3-* Auditory Recognition Chip [6]  20|Know|4|200|7/4days|45000|1.5|cb3.101|
3-* Auditory Recognition Chip [7]  20|Know|4|200|7/4days|52500|1.5|cb3.101|
3-* Auditory Recognition Chip [8]  20|Know|4|200|7/4days|60000|1.5|cb3.101|
3-* Auditory Recognition Chip [9]  20|Know|4|200|7/4days|67500|1.5|cb3.101|
3-* Auditory Recognition Chip [10] 20|Know|4|200|7/4days|75000|1.5|cb3.101|
3-* DataEdge Inc. Stutter Chipping 20|Know|-|20|4/48hrs|3100|1.5|cb3.101|
3-* Digi-Tone ID Chip [1]          20|Know|1|2|2/4days|70|1|sr2.???|
3-* Digi-Tone ID Chip [2]          20|Know|2|4|2/4days|140|1|sr2.???|
3-* Digi-Tone ID Chip [3]          20|Know|3|6|3/4days|210|1|sr2.???|
3-* Digi-Tone ID Chip [4]          20|Know|4|8|4/4days|280|1|sr2.???|
3-* Digi-Tone ID Chip [5]          20|Know|5|10|5/4days|350|1|sr2.???|
3-* Digi-Tone ID Chip [6]          20|Know|6|12|6/4days|420|1|sr2.???|
3-* Mind Games Chip                20|Know|-|depends on game|always|750|.6|sr2.???|
3-* M.O. Chip                      20|Know|-|300|10/14days|12000|10|sr2.???|
2-LinguaSofts
3-* +Direct Dataware Crypto        20|Lingua|1|+10|7/37hrs|600|1|cb3.101|
3-* LinguaSoft Gen.  [1]->         20|Lingua|1|3|6/36hrs|150|1.25|sr3.296|
3-* LinguaSoft Gen.  [2]->         20|Lingua|2|12|6/36hrs|600|1.25|sr3.296|
3-* LinguaSoft Gen.  [3]->         20|Lingua|3|27|6/36hrs|1350|1.25|sr3.296|
3-* LinguaSoft Gen.  [4]->         20|Lingua|4|48|6/36hrs|2400|1.25|sr3.296|
3-* LinguaSoft Gen.  [5]->         20|Lingua|5|75|6/36hrs|3750|1.25|sr3.296|
3-* LinguaSoft Gen.  [6]->         20|Lingua|6|108|6/36hrs|5400|1.25|sr3.296|
3-* LinguaSoft Gen.  [7]->         20|Lingua|7|147|6/36hrs|7350|1.25|sr3.296|
3-* LinguaSoft Gen.  [8]->         20|Lingua|8|192|6/36hrs|9600|1.25|sr3.296|
3-* LinguaSoft Gen.  [9]->         20|Lingua|9|243|6/36hrs|12150|1.25|sr3.296|
3-* LinguaSoft Gen.  [10]->        20|Lingua|10|300|6/36hrs|15000|1.25|sr3.296|
3-* LinguaSoft Spec  [1]->         20|Lingua|1|2|6/36hrs|100|1.25|sr3.296|
3-* LinguaSoft Spec  [2]->         20|Lingua|2|8|6/36hrs|400|1.25|sr3.296|
3-* LinguaSoft Spec  [3]->         20|Lingua|3|18|6/36hrs|900|1.25|sr3.296|
3-* LinguaSoft Spec  [4]->         20|Lingua|4|32|6/36hrs|1600|1.25|sr3.296|
3-* LinguaSoft Spec  [5]->         20|Lingua|5|50|6/36hrs|2500|1.25|sr3.296|
3-* LinguaSoft Spec  [6]->         20|Lingua|6|72|6/36hrs|3600|1.25|sr3.296|
3-* LinguaSoft Spec  [7]->         20|Lingua|7|98|6/36hrs|4900|1.25|sr3.296|
3-* LinguaSoft Spec  [8]->         20|Lingua|8|128|6/36hrs|6400|1.25|sr3.296|
3-* LinguaSoft Spec  [9]->         20|Lingua|9|162|6/36hrs|8100|1.25|sr3.296|
3-* LinguaSoft Spec  [10]->        20|Lingua|10|200|6/36hrs|10000|1.25|sr3.296|
2-Virtual Instructor chips
3-* Virt Instr Gen. Inst1Lev1->    20|Virt|1|6|2/72hrs|600|1|sr3.296|
3-* Virt Instr Gen. Inst2Lev2->    20|Virt|2|24|4/72hrs|2400|1|sr3.296|
3-* Virt Instr Gen. Inst3Lev3->    20|Virt|3|54|6/72hrs|5400|1|sr3.296|
3-* Virt Instr Gen. Inst4Lev4->    20|Virt|4|96|8/72hrs|9600|1|sr3.296|
3-* Virt Instr Gen. Inst4Lev5->    20|Virt|5|123|9/72hrs|12300|1|sr3.296|
3-* Virt Instr Gen. Inst4Lev6->    20|Virt|6|156|10/72hrs|15600|1|sr3.296|
3-* Virt Instr Gen. Inst4Lev7->    20|Virt|7|195|11/72hrs|19500|1|sr3.296|
3-* Virt Instr Gen. Inst4Lev8->    20|Virt|8|240|12/72hrs|24000|1|sr3.296|
3-* Virt Instr Gen. Inst4Lev9->    20|Virt|9|291|13/72hrs|29100|1|sr3.296|
3-* Virt Instr Gen. Inst4Lev10->   20|Virt|10|348|14/72hrs|34800|1|sr3.296|
3-* Virt Instr Spec Inst1Lev1->    20|Virt|1|5|2/72hrs|500|1|sr3.296|
3-* Virt Instr Spec Inst2Lev2->    20|Virt|2|20|4/72hrs|2000|1|sr3.296|
3-* Virt Instr Spec Inst3Lev3->    20|Virt|3|45|6/72hrs|4500|1|sr3.296|
3-* Virt Instr Spec Inst4Lev4->    20|Virt|4|80|8/72hrs|8000|1|sr3.296|
3-* Virt Instr Spec Inst4Lev5->    20|Virt|5|98|9/72hrs|9800|1|sr3.296|
3-* Virt Instr Spec Inst4Lev6->    20|Virt|6|120|10/72hrs|12000|1|sr3.296|
3-* Virt Instr Spec Inst4Lev7->    20|Virt|7|146|11/72hrs|14600|1|sr3.296|
3-* Virt Instr Spec Inst4Lev8->    20|Virt|8|176|12/72hrs|17600|1|sr3.296|
3-* Virt Instr Spec Inst4Lev9->    20|Virt|9|210|13/72hrs|21000|1|sr3.296|
3-* Virt Instr Spec Inst4Lev10->   20|Virt|10|248|14/72hrs|24800|1|sr3.296|
! build your own combination MP=Instr level + Teachlevel (gen =3x. spec =2x) Must be at end!!!
2-Visual Recognition Chips
3-* Corp. Officer VisRec Chip[1]   20|Know|1|40|10/4days|6000|1.5|cb1.42|
3-* Corp. Officer VisRec Chip[2]   20|Know|2|80|10/4days|12000|1.5|cb1.42|
3-* Corp. Officer VisRec Chip[3]   20|Know|3|120|10/4days|18000|1.5|cb1.42|
3-* Corp. Officer VisRec Chip[4]   20|Know|4|160|10/4days|24000|1.5|cb1.42|
3-* Military VisRec Chip [1]       20|Know|1|100|10/4days|15000|2.5|cb1.42|
3-* Military VisRec Chip [2]       20|Know|2|200|10/4days|30000|2.5|cb1.42|
3-* Military VisRec Chip [3]       20|Know|3|300|10/4days|45000|2.5|cb1.42|
3-* Military VisRec Chip [4]       20|Know|4|400|10/4days|60000|2.5|cb1.42|
3-* Police VisRec Chip [1]         20|Know|1|65|10/4days|16250|2.5|cb1.42|
3-* Police VisRec Chip [2]         20|Know|2|130|10/4days|32500|2.5|cb1.42|
3-* Police VisRec Chip [3]         20|Know|3|195|10/4days|48750|2.5|cb1.42|
3-* Police VisRec Chip [4]         20|Know|4|260|10/4days|65000|2.5|cb1.42|
3-* Rocker VisRec Chip [1]         20|Know|1|50|5/4days|7500|1.5|cb1.42|
3-* Rocker VisRec Chip [2]         20|Know|1|100|5/4days|15000|1.5|cb1.42|
3-* Rocker VisRec Chip [3]         20|Know|1|150|5/4days|22500|1.5|cb1.42|
3-* Rocker VisRec Chip [4]         20|Know|1|200|5/4days|30000|1.5|cb1.42|
3-* Secretarial VisRec Chip [1]    20|Know|1|50|8/4days|7500|1.5|cb1.42|
3-* Secretarial VisRec Chip [2]    20|Know|1|100|8/4days|15000|1.5|cb1.42|
3-* Secretarial VisRec Chip [3]    20|Know|1|150|8/4days|22500|1.5|cb1.42|
3-* Secretarial VisRec Chip [4]    20|Know|1|200|8/4days|30000|1.5|cb1.42|
3-* Techie VisRec Chip [1]         20|Know|1|50|6/4days|7500|1.5|cb1.42|
3-* Techie VisRec Chip [2]         20|Know|1|100|6/4days|15000|1.5|cb1.42|
3-* Techie VisRec Chip [3]         20|Know|1|150|6/4days|22500|1.5|cb1.42|
3-* Techie VisRec Chip [4]         20|Know|1|200|6/4days|30000|1.5|cb1.42|
2-Other
3-* Business Trip Chip             20|Active/Lingua|4|424|4/24hrs|42500|1|sr2.???|
3-* Dream Suppressant Chip         20|(Special)|-|-|8/7days|3000|2|cb4.138|
3-* "Fish N' Chips"                20|(Special)|-|20|4/4days|1000|1|cb1.41|
3-* Home Chip [1]                  20|(Special)|1|-|5/5days|300|1.5|cb4.138|
3-* Home Chip [2]                  20|(Special)|2|-|5/5days|1200|1.5|cb4.138|
3-* Home Chip [3]                  20|(Special)|3|-|5/5days|3700|1.5|cb4.138|
3-* Home Chip [4]                  20|(Special)|4|-|5/5days|4800|1.5|cb4.138|
3-* Home Chip [5]                  20|(Special)|5|-|5/5days|7500|1.5|cb4.138|
3-* Home Chip [6]                  20|(Special)|6|-|5/5days|10800|1.5|cb4.138|
3-* Home Chip [7]                  20|(Special)|7|-|5/5days|14700|1.5|cb4.138|
3-* Home Chip [8]                  20|(Special)|8|-|5/5days|19200|1.5|cb4.138|
3-* Home Chip [9]                  20|(Special)|9|-|5/5days|24300|1.5|cb4.138|
3-* Home Chip [10]                 20|(Special)|10|-|5/5days|30000|1.5|cb4.138|
3-* Special Operative Chip         20|Active/Know/Lingua|4|500|8/6days|60000|2|sr2.???|
3-* Tourism Chip                   20|Active/Lingua|4|344|4/24hrs|42500|1|sr2.???|
2-Security
3-* Rigger Protocol Emulation [1]  20|(Special/Security)|1|4|*|*|*|cs.77|
3-* Rigger Protocol Emulation [2]  20|(Special/Security)|2|8|*|*|*|cs.77|
3-* Rigger Protocol Emulation [3]  20|(Special/Security)|3|36|*|*|*|cs.77|
3-* Rigger Protocol Emulation [4]  20|(Special/Security)|4|64|*|*|*|cs.77|
3-* Rigger Protocol Emulation [5]  20|(Special/Security)|5|100|*|*|*|cs.77|
3-* Rigger Protocol Emulation [6]  20|(Special/Security)|6|144|*|*|*|cs.77|
3-* Rigger DeCrypt Module Ext.[1]  20|(Special/Security)|1|-|1hour/1day|7500|2|cs.78|
3-* Rigger DeCrypt Module Int.[1]  20|(Special/Security)|1|-|3hours/1day|7000|2|cs.78|
3-* Rigger DeCrypt Module Ext.[2]  20|(Special/Security)|2|-|2hour/2days|15000|2|cs.78|
3-* Rigger DeCrypt Module Int.[2]  20|(Special/Security)|2|-|4hours/2days|14000|2|cs.78|
3-* Rigger DeCrypt Module Ext.[3]  20|(Special/Security)|3|-|3hour/3days|22500|2|cs.78|
3-* Rigger DeCrypt Module Int.[3]  20|(Special/Security)|3|-|5hours/3days|21000|2|cs.78|
3-* Rigger DeCrypt Module Ext.[4]  20|(Special/Security)|4|-|4hour/4days|30000|2|cs.78|
3-* Rigger DeCrypt Module Int.[4]  20|(Special/Security)|4|-|6hours/4days|28000|2|cs.78|
3-* Rigger DeCrypt Module Ext.[5]  20|(Special/Security)|5|-|5hour/5days|37500|2|cs.78|
3-* Rigger DeCrypt Module Int.[5]  20|(Special/Security)|5|-|7hours/5days|35000|2|cs.78|
3-* Rigger DeCrypt Module Ext.[6]  20|(Special/Security)|6|-|6hour/6days|45500|2|cs.78|
